Volt,Volt
-344,-6.4
-340,-6.4
-344,-6.4
-340,-6.4
-340,-6.4
-340,-6.4
-340,-6.2
-340,-6.2
-340,-6.2
-336,-6.2
-336,-6.2
-336,-6.2
-336,-6.2
44,-6.2
40,-6.2
-344,-6.4
-340,-6.4
-340,-6.4
-340,-6.4
-340,-6.4
-336,-6.4
-340,-6.2
-336,-6.4
-340,-6.2
-336,-6.4
-340,-6.2
-336,-6.2
-336,-6.2
-336,-6.2
44,-6.4
-100,-6.4
-344,-6.4
-340,-6.6
-340,-6.4
-336,-6.4
-336,-6.4
-340,-6.4
-336,-6.2
-336,-6.2
-336,-6.2
-336,-6.2
-336,-6.2
-336,-6.2
-336,-6.4
48,-6.4
44,-6.4
-344,-6.6
-340,-6.4
-340,-6.6
-332,-6.6
-336,-6.4
-336,-6.4
-336,-6.2
-336,-6.4
-336,-6.2
-336,-6.2
-336,-6.2
-336,-6.2
-336,-6.2
-336,-6.4
48,-6.4
-4,-6.4
-344,-6.4
-340,-6.6
-336,-6.6
-336,-6.6
-336,-6.6
-336,-6.4
-336,-6.4
-336,-6.2
-336,-6.2
-336,-6.2
-336,-6.4
-332,-6.4
-332,-6.2
56,-6.4
44,-6.4
-120,-6.6
-336,-6.6
-336,-6.6
-336,-6.6
-336,-6.4
-336,-6.6
-336,-6.4
-336,-6.4
-336,-6.4
-332,-6.4
-332,-6.4
-336,-6.4
-332,-6.4
-332,-6.4
52,-6.4
44,-6.4
-344,-6.4
-336,-6.6
-336,-6.6
-336,-6.6
-336,-6.6
-336,-6.6
-336,-6.4
-332,-6.4
-332,-6.4
-336,-6.4
-332,-6.4
-332,-6.4
-332,-6.4
-332,-6.4
48,-6.4
-52,-6.4
-340,-6.6
-336,-6.6
-336,-6.6
-328,-6.6
-332,-6.6
-336,-6.4
-336,-6.6
-332,-6.4
-332,-6.4
-332,-6.4
-332,-6.4
-328,-6.4
-332,-6.4
68,-6.6
48,-6.6
-104,-6.6
-336,-6.6
-336,-6.6
-336,-6.6
-332,-6.6
-332,-6.6
-332,-6.4
-336,-6.6
-332,-6.6
-332,-6.4
-332,-6.4
-332,-6.4
-332,-6.4
-332,-6.4
52,-6.4
48,-6.6
-336,-6.6
-336,-6.8
-332,-6.6
-332,-6.6
-332,-6.6
-332,-6.6
-332,-6.4
-332,-6.6
-328,-6.4
-332,-6.6
-332,-6.4
-328,-6.4
-328,-6.4
-116,-6.6
52,-6.6
-36,-6.6
-336,-6.6
-336,-6.6
-332,-6.6
-332,-6.6
-332,-6.6
-332,-6.6
-332,-6.6
-328,-6.6
-328,-6.4
-328,-6.4
-328,-6.4
-328,-6.4
-328,-6.4
56,-6.6
48,-6.6
-340,-6.6
-336,-6.6
-336,-6.6
-332,-6.6
-332,-6.6
-332,-6.6
-332,-6.6
-332,-6.6
-332,-6.6
-332,-6.4
-328,-6.4
-328,-6.4
-328,-6.6
-328,-6.4
52,-6.6
36,-6.6
-336,-6.6
-332,-6.6
-332,-6.6
-332,-6.6
-328,-6.6
-328,-6.6
-332,-6.6
-328,-6.6
-328,-6.6
-328,-6.4
-328,-6.4
-328,-6.4
-328,-6.4
64,-6.4
52,-6.6
0,-6.6
-336,-6.6
-332,-6.6
-332,-6.6
-328,-6.6
-332,-6.6
-328,-6.6
-328,-6.6
-328,-6.6
-328,-6.4
-328,-6.6
-324,-6.4
-324,-6.4
-284,-6.4
56,-6.6
52,-6.6
-336,-6.6
-336,-6.6
-328,-6.6
-328,-6.6
-328,-6.6
-328,-6.6
-328,-6.6
-328,-6.6
-328,-6.4
-324,-6.4
-324,-6.4
-324,-6.4
-324,-6.4
-220,-6.6
52,-6.4
40,-6.6
-336,-6.6
-332,-6.6
-328,-6.6
-328,-6.6
-336,-6.6
-328,-6.6
-328,-6.6
-324,-6.6
-324,-6.4
-324,-6.4
-324,-6.4
-324,-6.4
-304,-6.6
60,-6.4
52,-6.6
48,-6.6
-328,-6.6
-328,-6.6
-328,-6.6
-328,-6.6
-324,-6.6
-328,-6.6
-328,-6.6
-324,-6.4
-324,-6.4
-324,-6.4
-324,-6.4
-324,-6.4
-208,-6.4
56,-6.4
52,-6.6
-344,-6.6
-328,-6.6
-328,-6.6
-328,-6.6
-328,-6.6
-328,-6.6
-324,-6.6
-328,-6.4
-324,-6.4
-328,-6.4
-320,-6.4
-324,-6.4
-324,-6.4
68,-6.4
56,-6.6
52,-6.4
-328,-6.6
-328,-6.6
-328,-6.6
-324,-6.6
-328,-6.4
-328,-6.4
-328,-6.2
-320,-6.4
-324,-6.2
-320,-6.2
-324,-6.2
-320,-6.2
-204,-6.4
56,-6.4
52,-6.4
52,-6.6
-328,-6.4
-328,-6.4
-328,-6.4
-328,-6.4
-328,-6.4
-324,-6.4
-320,-6.4
-324,-6.4
-324,-6.4
-320,-6.2
-320,-6.2
-320,-6.2
52,-6.2
56,-6.4
52,-6.2
-340,-6.4
-328,-6.4
-328,-6.4
-324,-6.4
-324,-6.4
-320,-6.4
-324,-6.2
-320,-6.2
-324,-6.2
-324,-6.2
-320,-6.2
-320,-6.2
-212,-6.2
60,-6.2
56,-6.2
52,-6.2
-332,-6.4
-328,-6.4
-324,-6.2
-324,-6.4
-324,-6.2
-324,-6.2
-320,-6.2
-324,-6.2
-320,-6.2
-320,-6
-320,-6.2
-320,-6.2
-84,-5.8
60,-6.2
56,-6.2
52,-6.2
-328,-6.2
-328,-6.2
-324,-6.2
-324,-6.2
-324,-6.2
-320,-6.2
-324,-6.2
-320,-6.2
-320,-5.8
-320,-6
-320,-6
-320,-5.8
64,-6
56,-6
52,-6.2
-344,-6.2
-328,-6.2
-324,-6.2
-324,-6
-324,-6.2
-328,-6
-320,-6
-320,-6
-320,-6
-320,-5.8
-320,-6
-320,-5.8
-112,-5.8
60,-6
56,-6
56,-6
-328,-6
-324,-6
-324,-6
-320,-6
-320,-6
-320,-6
-320,-5.8
-320,-5.8
-320,-5.8
-320,-5.8
-320,-5.8
-320,-5.8
68,-5.8
60,-5.8
56,-6
52,-6
-320,-6
-324,-6
-320,-6
-320,-6
-320,-5.8
-320,-5.8
-320,-6
-320,-5.8
-320,-5.8
-320,-5.8
-320,-5.8
-100,-5.8
60,-5.8
60,-6
56,-5.8
-340,-5.8
-324,-6
-324,-5.8
-320,-5.8
-320,-6
-320,-5.8
-324,-5.8
-320,-5.8
-320,-5.8
-320,-5.8
-320,-5.8
-320,-5.8
68,-5.8
60,-5.8
56,-5.8
56,-5.8
-328,-6
-324,-5.8
-320,-5.8
-320,-5.8
-324,-5.8
-320,-5.8
-320,-5.8
-320,-5.8
-320,-5.8
-320,-5.6
-320,-5.8
-144,-5.8
64,-5.8
60,-5.8
56,-5.8
52,-5.8
-324,-5.8
-324,-5.8
-320,-5.8
-320,-5.8
-320,-5.8
-320,-5.6
-320,-5.8
-320,-5.8
-320,-5.8
-320,-5.6
-316,-5.6
68,-5.6
60,-5.8
56,-5.8
56,-5.8
-336,-5.8
-324,-5.8
-324,-5.8
-320,-5.8
-320,-5.8
-320,-5.6
-320,-5.6
-320,-5.8
-320,-5.8
-320,-5.6
-316,-5.6
-320,-5.6
64,-5.6
60,-5.6
56,-5.6
56,-5.8
-328,-5.8
-324,-5.8
-324,-5.8
-320,-5.8
-320,-5.8
-320,-5.6
-320,-5.8
-320,-5.6
-320,-5.8
-316,-5.6
-316,-5.6
48,-5.6
60,-5.6
60,-5.6
56,-5.6
56,-5.6
-324,-5.6
-320,-5.6
-320,-5.6
-320,-5.6
-320,-5.6
60,-5.4
56,-5.8
56,-5.6
-328,-5.6
-324,-5.4
-320,-5.4
-320,-5.4
-320,-5.4
-320,-5.4
-320,-5.6
-320,-5.6
-316,-5.8
-316,-5.6
-64,-5.6
64,-5.4
60,-5.4
56,-5.4
52,-5.4
-336,-5.4
-324,-5.4
-320,-5.4
-320,-5.4
-320,-5.4
-320,-5.4
-320,-5.4
-320,-5.6
-316,-5.6
-316,-5.6
-316,-5.4
68,-5.4
60,-5.4
60,-5.4
56,-5.4
56,-5.4
-328,-5.4
-320,-5.4
-320,-5.4
-320,-5.4
-320,-5.4
-320,-5.4
-320,-5.4
-320,-5.4
-316,-5.6
-316,-5.6
-316,-5.4
64,-5.4
60,-5.4
60,-5.4
56,-5.4
52,-5.4
-324,-5.4
-320,-5.4
-320,-5.2
-320,-5.2
-320,-5.2
-320,-5.2
-320,-5.6
-320,-5.4
-320,-5.2
-316,-5.2
68,-5.2
60,-5.4
60,-5.4
60,-5.4
56,-5.4
-328,-5.4
-328,-5.2
-320,-5.2
-320,-5.4
-320,-5.4
-320,-5.2
-320,-5.2
-320,-5.4
-316,-5.2
-312,-5.2
-312,-5.2
64,-5.2
60,-5.2
60,-5.2
56,-5.2
56,-5
-328,-5.2
-320,-5.4
-320,-5.2
-320,-5.2
-320,-5.2
-320,-5
-316,-5
-316,-5.2
-316,-5
-316,-5
72,-5.2
64,-5
60,-5.2
56,-5
56,-5
56,-5
-324,-5
-320,-5
-320,-5
-320,-5
-320,-5
-316,-5
-316,-5.4
-316,-5
-316,-5
-312,-5
68,-4.8
60,-5
60,-5
60,-5
56,-5
-320,-5.2
-324,-5
-320,-5
-320,-5
-320,-4.8
-320,-4.8
-320,-4.8
-316,-5
-316,-5
-312,-5
72,-4.8
64,-5
64,-5
60,-4.8
56,-5
56,-5
-328,-5
-320,-4.6
-320,-5
-320,-4.8
-320,-4.8
-316,-4.8
-316,-4.6
-316,-4.8
-312,-4.8
-312,-4.8
68,-4.8
64,-4.8
60,-4.8
60,-4.8
56,-4.8
56,-4.8
-328,-4.8
-320,-4.6
-320,-4.6
-320,-4.8
-320,-4.6
-320,-4.6
-316,-4.8
-316,-4.6
-312,-4.6
72,-4.6
68,-4.6
56,-4.6
60,-4.6
60,-4.6
56,-4.6
56,-4.6
-320,-4.6
-320,-4.6
-320,-4.6
-320,-4.6
-320,-4.6
-320,-4.4
-316,-4.6
-312,-4.6
-312,-4.4
68,-4.6
64,-4.4
60,-4.6
60,-4.4
56,-4.6
56,-4.6
-332,-4.6
-320,-4.4
-320,-4.4
-320,-4.4
-320,-4.4
-320,-4.4
-316,-4.2
-312,-4.4
-312,-4.2
76,-4.2
64,-4.2
60,-4.2
60,-4.4
60,-4.2
56,-4.4
56,-4.4
-328,-4.2
-320,-4.2
-320,-4.2
-320,-4.2
-316,-4.2
-316,-4.2
-320,-4.2
-312,-4.2
-312,-4.2
68,-4.2
64,-4.2
60,-4.2
60,-4.2
60,-4.2
56,-4.2
56,-4.2
-324,-4.2
-320,-4.2
-320,-4.2
-320,-4.2
-316,-4.2
-316,-4.2
-312,-4.2
-312,-4.2
16,-4.2
68,-4
64,-4
60,-4.2
60,-4.2
56,-4.2
56,-4.2
-328,-4.2
-324,-4
-320,-4.2
-320,-4.2
-320,-4
-316,-3.8
-316,-3.8
-316,-4.2
-312,-4
68,-4
64,-3.8
60,-3.8
60,-4
60,-3.8
56,-3.8
56,-3.8
-328,-3.8
-320,-3.8
-320,-3.8
-320,-3.8
-320,-3.8
-316,-3.8
-316,-3.6
-312,-3.8
-304,-3.8
68,-3.8
64,-3.8
64,-3.8
60,-3.8
60,-3.8
60,-3.8
56,-3.8
-328,-3.8
-320,-3.8
-320,-3.8
-320,-3.8
-320,-3.8
-316,-3.6
-316,-3.8
-312,-3.6
68,-3.6
64,-3.6
64,-3.6
60,-3.8
60,-3.6
60,-3.8
56,-3.8
56,-3.4
-320,-3.8
-320,-3.8
-320,-3.6
-316,-3.8
-320,-3.4
-320,-3.4
-316,-3.6
-312,-3.6
64,-3.6
64,-3.4
56,-3.6
60,-3.6
60,-3.6
56,-3.6
56,-3.6
-328,-3.4
-324,-3.4
-320,-3.4
-320,-3.4
-316,-3.4
-316,-3.4
-312,-3.4
-312,-3.4
68,-3.4
64,-3.4
60,-3.4
60,-3.4
60,-3.4
56,-3.4
56,-3.4
56,-3.2
-328,-3.4
-320,-3.4
-320,-3.4
-320,-3.4
-316,-3.2
-316,-3.4
-316,-3.2
-312,-3.4
64,-3.4
64,-3.4
60,-3.4
60,-3.4
60,-3.4
56,-3.4
56,-3.4
56,-3.4
-324,-3.4
-320,-3.4
-320,-3.4
-316,-3.4
-316,-3.2
-316,-3
-312,-3.4
68,-3.4
64,-3.2
60,-3.2
56,-3.2
60,-3.2
56,-3.2
56,-3.2
56,-3.2
52,-3.2
-324,-3.2
-320,-3.2
-320,-3.2
-320,-3
-316,-3
-316,-3
-316,-3.2
68,-3.2
64,-3
60,-3.2
60,-3.2
60,-3
56,-3.2
56,-3.2
56,-3.2
-332,-3.2
-320,-3.2
-320,-3
-320,-3
-320,-3
-316,-3
-312,-3
72,-3
64,-3
60,-3
60,-3
56,-3.2
56,-3
56,-3
56,-2.8
56,-3
-328,-3
-320,-3
-320,-3
-320,-2.8
-316,-2.8
-316,-3
-312,-3
68,-3
64,-2.8
60,-2.8
64,-3
60,-3
56,-3
56,-3
56,-3
52,-2.8
-328,-3
-320,-3
-320,-2.8
-320,-2.6
-320,-2.6
-316,-2.8
68,-3
60,-2.8
60,-2.8
60,-2.6
60,-2.8
56,-2.8
56,-2.8
56,-2.8
56,-2.8
-320,-2.8
-324,-3
-320,-2.8
-320,-2.6
-320,-2.6
-316,-2.6
-316,-2.6
64,-2.8
60,-2.6
60,-2.6
60,-2.6
56,-2.6
56,-2.6
56,-2.6
56,-2.6
52,-2.6
-332,-2.6
-320,-2.6
-320,-2.6
-320,-2.6
-316,-2.6
-316,-2.6
68,-2.4
60,-2.6
60,-2.6
60,-2.6
60,-2.6
56,-2.6
56,-2.6
56,-2.4
56,-2.6
52,-2.6
-328,-2.6
-320,-2.4
-320,-2.6
-320,-2.4
-320,-2.4
-316,-2.4
64,-2.6
60,-2.4
60,-2.4
60,-2.4
56,-2.4
56,-2.6
56,-2.4
56,-2.4
52,-2.4
52,-2.4
-328,-2.4
-320,-2.4
-320,-2.4
-320,-2.4
-316,-2.4
68,-2.4
60,-2.4
60,-2.4
56,-2.4
56,-2.4
56,-2.4
56,-2.4
56,-2.2
52,-2.4
52,-2.4
-320,-2.4
-324,-2.4
-320,-2.4
-320,-2.2
-320,-2.2
-316,-2.2
64,-2
60,-2.4
60,-2.2
56,-2.2
56,-2.2
56,-2.2
52,-2.4
56,-2.2
52,-2.2
52,-2.2
-332,-2.2
-324,-2
-324,-2
-320,-2
-320,-2
68,-2
60,-1.8
60,-2
56,-2
56,-2
56,-2
56,-2
52,-1.8
52,-2
52,-2
52,-2
-328,-2
-324,-2
-320,-2
-320,-1.8
-320,-1.6
60,-1.8
60,-2
56,-1.8
56,-1.8
56,-1.8
56,-1.8
52,-1.8
52,-1.6
52,-1.8
52,-1.6
52,-1.6
-328,-1.8
-320,-1.8
-320,-1.6
-320,-1.6
68,-1.6
60,-1.6
56,-1.8
56,-1.6
56,-1.6
56,-1.6
56,-1.6
56,-1.4
52,-1.6
52,-1.6
52,-1.6
-336,-1.6
-328,-1.6
-320,-1.6
-320,-1.6
-320,-1.4
60,-1.4
56,-1.4
56,-1.6
56,-1.4
56,-1.4
52,-1.4
52,-1.6
52,-1.4
52,-1.2
52,-1.4
52,-1.4
-332,-1.4
-328,-1.4
-320,-1.4
-320,-1.2
68,-1.2
60,-1.2
56,-1.2
56,-1.2
56,-1.2
52,-1.2
52,-1.2
52,-1
52,-1.2
52,-1.2
52,-1.2
52,-1.2
-332,-1.2
-324,-1.2
-320,-1.2
-320,-1.2
60,-1.2
56,-1.2
56,-1.2
56,-1.2
56,-1.2
52,-1.2
52,-1.2
52,-1.2
52,-1.2
52,-1
52,-1.2
52,-1.2
-328,-1.2
-324,-1.2
-320,-1
60,-1
56,-0.8
56,-0.8
56,-1.2
52,-1.2
52,-1
52,-1
52,-0.8
52,-0.8
52,-0.8
52,-0.8
48,-0.8
-348,-0.8
-328,-0.8
-320,-0.8
-320,-0.8
56,-0.8
56,-0.8
56,-0.6
52,-0.8
52,-0.8
52,-0.8
52,-0.8
56,-0.8
52,-0.8
52,-0.8
52,-0.8
52,-0.8
-336,-0.8
-328,-0.8
-324,-0.6
60,-0.6
56,-0.4
56,-0.4
52,-0.4
52,-0.6
52,-0.6
52,-0.6
52,-0.4
48,-0.4
52,-0.6
52,-0.4
48,-0.6
48,-0.4
-332,-0.4
-324,-0.4
-324,-0.4
56,-0.4
52,-0.4
52,-0.4
52,-0.8
52,-0.4
52,-0.4
52,-0.4
52,-0.4
52,-0.4
48,-0.4
48,-0.4
48,-0.4
52,-0.4
-328,-0.4
-328,-0.2
60,-0.2
56,-0.4
52,-0.2
52,-0.2
52,-0.4
52,-0.4
52,-0.4
52,0
44,-0.2
52,-0.2
48,-0.2
48,-0.2
48,-0.2
-336,-0.2
-328,-0.2
-324,0
52,0
52,-0.2
52,0
52,0
52,-0.2
48,-0.2
48,-0.2
48,0
48,0
52,0
48,0
48,0
44,0
-336,0
-328,0
56,0
52,0
52,0
52,0
48,0.2
48,0
48,0
48,0.4
48,0
48,0
48,0
48,0.2
48,0.2
48,0.2
-332,0.2
-328,0.4
52,0.2
52,0.4
48,0.2
48,0.4
48,0
48,0.2
48,0.2
48,0.4
36,0.4
48,0.4
48,0.4
48,0.4
44,0.4
44,0.4
-332,0.4
52,0.4
52,0.4
52,0.4
48,0.4
48,0.4
48,0.2
48,0.4
48,0.4
48,0.4
44,0.4
48,0.4
44,0.4
44,0.4
44,0.4
-328,0.4
-328,0.4
48,0.6
48,0.4
48,0.6
48,0.6
44,0.4
48,0.4
44,0.4
44,0.6
44,0.6
48,0.6
44,0.6
44,0.6
44,0.4
44,0.8
-340,0.6
52,0.8
48,0.8
44,0.8
44,0.8
44,0.8
44,0.8
44,0.6
44,0.8
44,0.8
52,0.8
44,0.8
44,0.8
44,0.8
44,0.8
44,0.8
-332,0.8
48,0.8
44,1
44,0.8
44,1
44,1
44,0.8
44,0.8
44,1.2
44,1.2
44,1
44,0.8
44,1.2
44,1
44,1
44,1
48,1
44,1.2
44,1.2
44,1.2
44,1.2
44,1.2
44,1
44,1
44,1.2
44,1
44,1.2
44,1.2
40,1.2
44,1.2
44,1.2
44,1.2
44,1.2
44,1.2
44,1.2
44,1.2
44,1.2
44,1
44,1.2
44,1.4
44,1.2
44,1.2
44,1.2
40,1.2
44,1.2
44,1.4
44,1.2
40,1.2
44,1.4
44,1.2
44,1.4
44,1.4
40,1.4
44,1.2
44,1.2
44,1.4
44,1.4
44,1.4
40,1.4
44,1.4
40,1.4
40,1.6
44,1.4
44,1.4
40,1.4
44,1.4
44,1.4
44,1.4
44,1.6
44,1.4
44,1.6
44,1.6
44,1.6
40,1.6
44,1.6
44,1.6
408,1.6
36,1.6
36,1.6
36,1.6
408,1.6
36,1.6
36,1.6
36,1.6
36,1.6
36,1.6
36,1.6
36,1.6
36,1.6
40,1.6
40,1.6
64,1.6
32,1.6
36,1.6
36,1.6
36,1.6
24,1.6
36,1.6
36,1.8
36,1.8
36,1.4
36,1.8
36,1.6
36,1.8
36,1.8
36,1.8
36,1.8
404,1.8
32,1.8
36,1.8
36,1.8
408,1.8
28,1.8
36,1.8
36,1.6
36,1.8
36,1.8
36,1.8
36,1.8
36,1.8
36,1.8
36,1.8
36,1.8
400,2
32,2
36,2
36,2
400,2
28,2
32,2
36,2
